Date,Return_abev3,Return_bbdc3,Return_itub3,Return_itsa3,Return_wege3
2019-04-05,0.0070323488045007,0.0053165780570323,0.0133382734346054,0.0,0.0131004366812226
2019-04-08,-0.0055865921787709,0.0033653846153847,-0.0047531992687386,0.0033259423503326,-0.0161637931034481
2019-04-09,0.0196629213483146,-0.005749880210829,-0.0047759000734753,-0.0209944751381216,-0.0131434830230011
2019-04-10,-0.0075757575757575,-0.0091566265060241,-0.0081210778885196,-0.0067720090293452,-0.0099889012208657
2019-04-11,-0.0173490631505898,-0.0107003891050583,-0.0130256791961295,-0.0056818181818182,-0.0044843049327353
2019-04-12,-0.0112994350282485,-0.012291052114061,-0.0105580693815988,-0.0137142857142856,0.0
2019-04-15,0.0214285714285715,-0.0074664011946241,0.004954268292683,0.0266512166859789,0.0090090090090089
2019-04-16,0.0062937062937062,-0.0010030090270811,-0.0068259385665528,-0.010158013544018,0.0189732142857141
2019-04-17,-0.0271021542738012,-0.0050200803212852,-0.0053455517373043,-0.0159635119726337,-0.0131434830230011
2019-04-18,0.0014285714285713,0.012108980827447,0.0138195777351246,0.0173812282734644,0.0066592674805772
2019-04-22,0.0249643366619114,-0.0004985044865403,-0.0068156001514577,-0.0056947608200453,0.0066152149944873
2019-04-23,0.0097425191370912,0.0184538653366583,0.0182996568814335,0.0194730813287513,0.0262869660460021
2019-04-24,0.0027567195037905,0.0004897159647403,0.0,0.0022471910112358,-0.0234791889007469
2019-04-25,0.0329896907216493,-0.0004894762604013,0.0063646574316733,0.0056053811659193,0.0131147540983604
2019-04-26,-0.0013306719893545,0.0,-0.0007440476190475,0.0122630992196208,0.0021574973031284
2019-04-29,0.0033311125916055,-0.0029382957884428,0.0011169024571855,-0.0176211453744493,-0.0172228202368136
2019-04-30,0.0066401062416998,0.0029469548133596,0.0,0.0033632286995515,-0.0087623220153341
2019-05-02,-0.0277044854881266,0.0039177277179234,0.0044626255113424,-0.0044692737430166,0.0099447513812154
2019-05-03,-0.002035278154681,0.0204878048780488,-0.0059237319511291,-0.01010101010101,-0.0065645514223194
2019-05-06,0.0081577158395649,-0.0325047801147229,-0.0208566108007449,-0.0147392290249434,-0.0154185022026431
2019-05-07,-0.0229265003371543,-0.0143280632411066,-0.0057055914796499,-0.0184119677790564,-0.012304250559284
