Date,Price_abev3,Price_bbdc3,Price_itub3,Price_itsa3,Price_wege3,Return_abev3,Return_bbdc3,Return_itub3,Return_itsa3,Return_wege3,abev3_y,bbdc3_y,itsa3_y,itub3_y,wege3_y,Return_abev3_lag_1,Return_abev3_lag_2,Return_abev3_lag_3,Return_abev3_lag_4,Return_bbdc3_lag_1,Return_bbdc3_lag_2,Return_bbdc3_lag_3,Return_bbdc3_lag_4,Return_itub3_lag_1,Return_itub3_lag_2,Return_itub3_lag_3,Return_itub3_lag_4,Return_itsa3_lag_1,Return_itsa3_lag_2,Return_itsa3_lag_3,Return_itsa3_lag_4,Return_wege3_lag_1,Return_wege3_lag_2,Return_wege3_lag_3,Return_wege3_lag_4
2007-10-11,3.08,6.2,7.87,3.43,2.44,0.013157894736842035,-0.023622047244094446,-0.03435582822085892,0.0,0.00411522633744843,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,
2007-10-15,3.02,6.09,7.75,3.43,2.47,-0.019480519480519543,-0.01774193548387104,-0.015247776365946653,0.0,0.012295081967213184,False,False,True,False,False,0.013157894736842035,,,,-0.023622047244094446,,,,-0.03435582822085892,,,,0.0,,,,0.00411522633744843,,,
2007-10-16,2.94,5.97,7.61,3.48,2.47,-0.026490066225165587,-0.019704433497536922,-0.01806451612903226,0.014577259475218707,0.0,True,True,False,True,True,-0.019480519480519543,0.013157894736842035,,,-0.01774193548387104,-0.023622047244094446,,,-0.015247776365946653,-0.03435582822085892,,,0.0,0.0,,,0.012295081967213184,0.00411522633744843,,
2007-10-17,3.06,6.09,7.86,3.48,2.57,0.04081632653061229,0.0201005025125629,0.03285151116951379,0.0,0.04048582995951411,True,False,False,False,True,-0.026490066225165587,-0.019480519480519543,0.013157894736842035,,-0.019704433497536922,-0.01774193548387104,-0.023622047244094446,,-0.01806451612903226,-0.015247776365946653,-0.03435582822085892,,0.014577259475218707,0.0,0.0,,0.0,0.012295081967213184,0.00411522633744843,
2007-10-18,3.07,6.09,7.6899999999999995,3.48,2.59,0.0032679738562091387,0.0,-0.021628498727735423,0.0,0.0077821011673151474,False,False,False,False,False,0.04081632653061229,-0.026490066225165587,-0.019480519480519543,0.013157894736842035,0.0201005025125629,-0.019704433497536922,-0.01774193548387104,-0.023622047244094446,0.03285151116951379,-0.01806451612903226,-0.015247776365946653,-0.03435582822085892,0.0,0.014577259475218707,0.0,0.0,0.04048582995951411,0.0,0.012295081967213184,0.00411522633744843
2007-10-19,3.0,6.09,7.52,3.43,2.57,-0.02280130293159599,0.0,-0.022106631989596837,-0.014367816091953922,-0.007722007722007707,False,True,True,True,False,0.0032679738562091387,0.04081632653061229,-0.026490066225165587,-0.019480519480519543,0.0,0.0201005025125629,-0.019704433497536922,-0.01774193548387104,-0.021628498727735423,0.03285151116951379,-0.01806451612903226,-0.015247776365946653,0.0,0.0,0.014577259475218707,0.0,0.0077821011673151474,0.04048582995951411,0.0,0.012295081967213184
2007-10-22,3.0,6.13,7.57,3.5,2.54,0.0,0.006568144499178974,0.0066489361702128935,0.020408163265306145,-0.011673151750972721,False,True,False,True,True,-0.02280130293159599,0.0032679738562091387,0.04081632653061229,-0.026490066225165587,0.0,0.0,0.0201005025125629,-0.019704433497536922,-0.022106631989596837,-0.021628498727735423,0.03285151116951379,-0.01806451612903226,-0.014367816091953922,0.0,0.0,0.014577259475218707,-0.007722007722007707,0.0077821011673151474,0.04048582995951411,0.0
2007-10-23,3.0,6.19,7.7,3.38,2.58,0.0,0.00978792822185981,0.017173051519154603,-0.034285714285714364,0.015748031496062964,False,True,True,False,True,0.0,-0.02280130293159599,0.0032679738562091387,0.04081632653061229,0.006568144499178974,0.0,0.0,0.0201005025125629,0.0066489361702128935,-0.022106631989596837,-0.021628498727735423,0.03285151116951379,0.020408163265306145,-0.014367816091953922,0.0,0.0,-0.011673151750972721,-0.007722007722007707,0.0077821011673151474,0.04048582995951411
2007-10-24,3.0,6.23,7.59,3.46,2.65,0.0,0.00646203554119551,-0.014285714285714346,0.02366863905325456,0.027131782945736482,False,False,False,False,True,0.0,0.0,-0.02280130293159599,0.0032679738562091387,0.00978792822185981,0.006568144499178974,0.0,0.0,0.017173051519154603,0.0066489361702128935,-0.022106631989596837,-0.021628498727735423,-0.034285714285714364,0.020408163265306145,-0.014367816091953922,0.0,0.015748031496062964,-0.011673151750972721,-0.007722007722007707,0.0077821011673151474
2007-10-25,2.95,6.09,7.44,3.45,2.66,-0.016666666666666607,-0.022471910112359605,-0.019762845849802257,-0.0028901734104045396,0.0037735849056603765,True,True,False,True,True,0.0,0.0,0.0,-0.02280130293159599,0.00646203554119551,0.00978792822185981,0.006568144499178974,0.0,-0.014285714285714346,0.017173051519154603,0.0066489361702128935,-0.022106631989596837,0.02366863905325456,-0.034285714285714364,0.020408163265306145,-0.014367816091953922,0.027131782945736482,0.015748031496062964,-0.011673151750972721,-0.007722007722007707
2007-10-26,2.97,6.3,7.71,3.45,2.7,0.006779661016949268,0.034482758620689724,0.03629032258064502,0.0,0.015037593984962516,True,False,False,True,True,-0.016666666666666607,0.0,0.0,0.0,-0.022471910112359605,0.00646203554119551,0.00978792822185981,0.006568144499178974,-0.019762845849802257,-0.014285714285714346,0.017173051519154603,0.0066489361702128935,-0.0028901734104045396,0.02366863905325456,-0.034285714285714364,0.020408163265306145,0.0037735849056603765,0.027131782945736482,0.015748031496062964,-0.011673151750972721
