Date,Price_abev3,Price_bbdc3,Price_itub3,Price_itsa3,Price_wege3
2019-04-02,13.77,20.62,26.94,9.16,8.88
2019-04-03,13.82,20.36,26.58,8.95,8.99
2019-04-04,14.22,20.69,26.99,9.02,9.16
2019-04-05,14.32,20.8,27.35,9.02,9.28
2019-04-08,14.24,20.87,27.22,9.05,9.13
2019-04-09,14.52,20.75,27.09,8.86,9.01
2019-04-10,14.41,20.56,26.87,8.8,8.92
2019-04-11,14.16,20.34,26.52,8.75,8.88
2019-04-12,14.0,20.09,26.24,8.63,8.88
2019-04-15,14.3,19.94,26.37,8.86,8.96
2019-04-16,14.39,19.92,26.19,8.77,9.13
2019-04-17,14.0,19.82,26.05,8.63,9.01
2019-04-18,14.02,20.06,26.41,8.78,9.07
2019-04-22,14.37,20.05,26.23,8.73,9.13
2019-04-23,14.51,20.42,26.71,8.9,9.37
2019-04-24,14.55,20.43,26.71,8.92,9.15
2019-04-25,15.03,20.42,26.88,8.97,9.27
2019-04-26,15.01,20.42,26.86,9.08,9.29
2019-04-29,15.06,20.36,26.89,8.92,9.13
2019-04-30,15.16,20.42,26.89,8.95,9.05
2019-05-02,14.74,20.5,27.01,8.91,9.14
2019-05-03,14.71,20.92,26.85,8.82,9.08
2019-05-06,14.83,20.24,26.29,8.69,8.94
2019-05-07,14.49,19.95,26.14,8.53,8.83
2019-05-08,14.71,20.42,26.34,8.7,9.06
2019-05-09,14.36,20.02,26.13,8.69,9.03
2019-05-10,14.2,19.82,25.85,8.61,8.97
2019-05-13,13.96,19.25,25.44,8.43,8.76
2019-05-14,13.91,19.08,25.34,8.43,8.77
2019-05-15,13.64,18.91,25.37,8.43,8.76
2019-05-16,13.66,18.57,25.16,8.21,8.76
2019-05-17,13.54,18.72,25.12,8.37,8.83
2019-05-20,13.54,19.37,25.71,8.56,9.0
2019-05-21,14.03,20.2,26.61,8.74,9.15
2019-05-22,14.13,19.91,26.74,8.79,9.14
2019-05-23,14.13,19.92,26.51,8.59,9.01
2019-05-24,14.0,19.79,26.31,8.64,8.86
2019-05-27,14.14,20.07,26.14,8.73,8.9
2019-05-28,14.21,20.74,26.83,8.88,9.18
2019-05-29,14.17,21.13,27.31,9.04,9.29
2019-05-30,14.31,21.46,27.64,9.15,9.28
2019-05-31,14.41,21.52,27.6,9.21,9.27
2019-06-03,14.3,21.6,27.74,9.15,9.32
2019-06-04,14.24,21.57,27.67,9.16,9.26
2019-06-05,14.29,21.32,27.25,9.01,9.2
2019-06-06,14.48,21.6,27.52,9.07,9.2
2019-06-07,14.46,21.73,27.69,9.19,9.35
2019-06-10,14.49,21.53,27.2,9.06,9.36
2019-06-11,14.55,21.59,27.49,9.0,9.43
2019-06-12,14.51,21.63,27.39,8.93,9.59
2019-06-13,14.65,21.4,27.04,8.67,9.74
2019-06-14,14.48,21.1,26.85,8.69,9.7
2019-06-17,14.61,20.99,26.99,8.75,9.88
2019-06-18,14.82,21.23,27.38,8.93,10.05
2019-06-19,14.94,21.72,27.8,9.01,10.31
2019-06-21,15.15,22.23,28.42,9.14,10.43
2019-06-24,15.02,22.33,28.38,9.08,10.51
2019-06-25,14.92,21.94,28.07,8.95,10.31
2019-06-26,14.86,22.03,28.62,9.14,10.3
2019-06-27,14.82,22.09,28.44,8.64,10.4
2019-06-28,14.69,22.06,28.55,8.55,10.4
2019-07-01,14.62,22.21,28.55,8.61,10.53
2019-07-02,14.88,22.19,28.27,8.62,10.52
2019-07-03,15.49,22.6,28.65,8.45,10.59
2019-07-04,15.6,23.11,28.94,8.61,10.83
2019-07-05,15.6,23.29,29.18,8.73,10.93
2019-07-08,15.55,23.44,29.24,8.74,10.99
2019-07-10,15.61,23.28,28.97,8.78,11.56
2019-07-11,15.34,23.02,28.95,8.76,11.51
2019-07-12,14.94,22.56,28.8,8.64,11.26
2019-07-15,14.98,22.57,28.49,8.6,10.93
2019-07-16,14.86,22.37,28.6,8.62,10.98
2019-07-17,14.77,22.45,28.45,8.61,10.99
2019-07-18,14.98,22.86,29.12,8.77,11.1
